cell_type,number_of_cells,number_of_SnCs
Fibrotic fibroblast,2433,122
AT2,2195,120
EC Venous,2172,48
EC Arterial,1847,33
Dendritic cells,1425,34
CD4+ T Cells,1211,76
KRT5-/KRT17+ cells,1145,55
EC General capillary,950,23
Monocyte-derived macrophage,926,41
CD8+ T Cells,892,10
Smooth muscle cells,863,21
Plasma cells,826,20
Ciliated,761,43
SPP1+ macrophages,679,17
MUC5B+ club,660,21
Alveolar fibroblasts,652,0
Alveolar macrophages,544,33
SCGB3A2+/SCGB1A1+ club,512,21
Monocyte,507,0
Mast cells,399,21
NK cells,392,0
Pericyte,362,14
Goblet,330,11
AT1,292,0
EC Lymphatic,248,0
B cells,206,0
Inflammatory fibroblasts,175,0
AT2 transitional,171,0
Peribronchial fibroblasts,154,0
Adventitial fibroblasts,128,0
Proliferating fibroblasts,48,0
Basal,20,0
